cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
$91k,"$99,159",3 Ton 170 Kg,Dec 05 2014,"U,A",advanced,M14150,"IN732165,IN732197,IN732198,IN732199",2.6 meters,102 cm,27 cm
$13k,"$33,607",2 Ton 820 Kg,Dec 13 2000,"F,D",super advanced,,IN732200,2.35 meters,101 cm,26 cm
,"$121,944",2 Ton 940 Kg,Dec 13 2002,"D,R",super advanced,M14151,"IN732180,IN732201",2.22 meters,106 cm,28 cm
$128k,"$301,233",3 Ton 280 Kg,Jan 24 2014,"T,H",advanced,M14152,"IN732202,IN732203,IN732193,IN732204,IN732205,IN732206",2.69 meters,102 cm,27 cm
$552k,"$123,238",3 Ton 270 Kg,Oct 08 2014,"H,A",advanced,M14153,IN732207,1.89 meters,121 cm,32 cm
$26k,"$104,479",2 Ton 950 Kg,Apr 30 2010,R,advanced,M14154,"IN732208,IN732066,IN732209,IN732210,IN732211,IN732212",3.04 meters,91 cm,24 cm
$28k,"$112,719",2 Ton 990 Kg,Jul 13 2012,"D,H",super advanced,M14155,"IN732213,IN732066,IN732214,IN732215,IN732216",2.6 meters,99 cm,26 cm
$238k,"$382,562",2 Ton 960 Kg,Nov 26 2004,"D,R",advanced,M14156,"IN732217,IN732218,IN732219,IN732220",2.46 meters,101 cm,26 cm
,"$55,362",2 Ton 860 Kg,Jun 11 1999,H,super advanced,M14157,"IN732221,IN732222,IN732223,IN732224,IN732225,IN732226,IN732227,IN732087",3.1 meters,88 cm,23 cm
,"$56,796",3 Ton 80 Kg,Jan 30 2009,U,super advanced,M14158,"IN732228,IN732229,IN732230",2.48 meters,103 cm,27 cm
$128k,"$117,899",3 Ton 240 Kg,Dec 10 1999,U,super advanced,M14159,"IN732231,IN732232,IN732233",2.42 meters,107 cm,28 cm
,"$14,037",2 Ton 950 Kg,Jan 30 1998,"F,D",super advanced,M14160,"IN732234,IN732235",2.91 meters,93 cm,24 cm
$132k,"$369,502",3 Ton 180 Kg,Aug 22 2003,"P,H",super advanced,M14161,"IN732236,IN732237,IN732238,IN732239",2.73 meters,99 cm,26 cm
$18k,"$17,932",3 Ton 210 Kg,Jun 24 2016,H,advanced,M14162,"IN732118,IN732240",2.58 meters,103 cm,27 cm
$28k,"$7,154",3 Ton 120 Kg,Jul 08 2016,U,super advanced,,"IN732241,IN732242,IN732243,IN732244",3.14 meters,92 cm,24 cm
$97k,"$102,464",2 Ton 790 Kg,Jun 23 2010,C,advanced,,"IN732245,IN732246,IN732247,IN732248,IN732249",2.64 meters,95 cm,25 cm
$317k,"$249,700",3 Ton 450 Kg,Apr 12 2002,S,advanced,M14163,"IN732250,IN732251,IN732252,IN732253,IN732143,IN732211,IN732254,IN732255,IN732256,IN732257",3.08 meters,97 cm,26 cm
$66k,"$69,228",3 Ton 0 Kg,Jan 12 2007,H,advanced,,"IN732258,IN732259",2.82 meters,95 cm,25 cm
$185k,"$539,121",3 Ton 360 Kg,Oct 04 2002,"Q,H",advanced,M14164,"IN732189,IN732260,IN732246,IN732248,IN732261,IN732262,IN732263",2.47 meters,107 cm,28 cm
$380k,"$514,165",2 Ton 960 Kg,Sep 03 1999,C,basic,M14165,"IN732117,IN732264,IN732265,IN732266",2.08 meters,110 cm,29 cm
$631k,"$435,805",2 Ton 960 Kg,Aug 20 2010,C,intermediate,M14166,"IN732267,IN732268,IN732269,IN732270,IN732271",2.52 meters,100 cm,26 cm
$62k,"$164,316",2 Ton 960 Kg,Apr 29 2005,"J,D",intermediate,,"IN732272,IN732273,IN732274",2.44 meters,101 cm,27 cm
$238k,"$180,878",3 Ton 150 Kg,Oct 08 1999,"U,H",advanced,M14167,"IN732275,IN732276,IN732096,IN732277,IN732278,IN732279,IN732233,IN732280,IN732281",2.49 meters,104 cm,27 cm
,"$9,522",3 Ton 0 Kg,Jun 09 2000,J,intermediate,,IN732282,2.56 meters,100 cm,26 cm
,"$34,528",3 Ton 90 Kg,Jan 10 1997,"D,H",advanced,M14168,"IN732276,IN732283",2.99 meters,94 cm,25 cm
$292k,"$214,302",2 Ton 970 Kg,Nov 28 2013,A,super advanced,M14169,"IN732284,IN732074,IN732285,IN732286,IN732154,IN732061",2.84 meters,94 cm,25 cm
$113k,"$26,152",3 Ton 180 Kg,Aug 24 2007,R,advanced,M14170,"IN732189,IN732287,IN732288,IN732289,IN732290,IN732291,IN732292,IN732293",2.22 meters,110 cm,29 cm
$66k,"$51,556",3 Ton 10 Kg,Oct 31 2003,"D,R",advanced,,IN732064,2.53 meters,100 cm,26 cm
$11k,"$128,513",2 Ton 800 Kg,Oct 25 2013,D,super advanced,M14171,"IN732294,IN732295,IN732187,IN732296",2.94 meters,90 cm,24 cm
$15k,"$57,160",2 Ton 870 Kg,Jan 30 2015,"N,D",super advanced,M14171,"IN732294,IN732297,IN732298,IN732295",2.51 meters,99 cm,26 cm
$103k,"$101,693",2 Ton 960 Kg,Jul 07 2006,"F,H",super advanced,,"IN732140,IN732299,IN732260,IN732253",2.55 meters,99 cm,26 cm
$207k,"$180,437",3 Ton 320 Kg,Feb 22 2002,"Q,A",advanced,M14152,"IN732300,IN732065,IN732301,IN732302,IN732261,IN732303",3.15 meters,95 cm,25 cm
,"$16,437",3 Ton 30 Kg,Aug 07 1998,"D,R",super advanced,M14124,"IN732304,IN732305,IN732306,IN732307,IN732308,IN732309",2.61 meters,99 cm,26 cm
$97k,"$71,349",2 Ton 970 Kg,Feb 03 2006,"D,R",advanced,,"IN732310,IN732114,IN732311,IN732312",2.65 meters,97 cm,26 cm
$116k,"$86,712",3 Ton 50 Kg,Jan 16 2004,A,super advanced,M14172,"IN732313,IN732309",2.27 meters,107 cm,28 cm
$37k,"$53,210",3 Ton 160 Kg,Feb 25 2000,"Q,D",advanced,M14173,"IN732314,IN732315,IN732316,IN732306,IN732317,IN732318,IN732190,IN732174,IN732319,IN732320,IN732321",2.45 meters,104 cm,27 cm
$53k,"$31,548",3 Ton 80 Kg,Apr 04 2008,"V,H",super advanced,M14174,IN732322,2.91 meters,95 cm,25 cm
,"$58,579",2 Ton 920 Kg,Jan 28 2004,D,advanced,M14175,"IN732273,IN732323",2.76 meters,95 cm,25 cm
$128k,"$138,244",3 Ton 160 Kg,Mar 13 2015,"W,D",super advanced,M14176,"IN732324,IN732101,IN732325,IN732326,IN732327,IN732328,IN732329",2.72 meters,99 cm,26 cm
$66k,"$20,780",3 Ton 250 Kg,Oct 14 2015,"U,H",super advanced,M14177,"IN732330,IN732331,IN732332,IN732333",2.73 meters,101 cm,26 cm
,"$56,873",3 Ton 210 Kg,May 08 2015,U,super advanced,M14178,"IN732334,IN732335,IN732336,IN732337",2.64 meters,102 cm,27 cm
,"$98,006",2 Ton 810 Kg,Jul 16 1999,D,advanced,M14179,"IN732338,IN732273,IN732153,IN732339",2.69 meters,94 cm,25 cm
$113k,"$200,874",2 Ton 900 Kg,Feb 11 2011,N,super advanced,,"IN732340,IN732341,IN732342,IN732343,IN732344,IN732345",2.63 meters,97 cm,25 cm
$47k,"$51,462",2 Ton 970 Kg,May 21 2010,U,super advanced,M14180,"IN732346,IN732347,IN732348,IN732309",2.58 meters,99 cm,26 cm
,"$215,210",3 Ton 80 Kg,Mar 19 1999,U,super advanced,M14181,"IN732349,IN732350,IN732140",2.5 meters,102 cm,27 cm
,"$66,627",3 Ton 0 Kg,Mar 23 2007,D,advanced,M14182,"IN732112,IN732351,IN732352,IN732314,IN732353,IN732354,IN732249,IN732355,IN732257,IN732356",2.6 meters,99 cm,26 cm
,"$28,935",2 Ton 900 Kg,Apr 24 1998,"J,D",intermediate,,,2.39 meters,102 cm,27 cm
$254k,"$8,689",3 Ton 30 Kg,Jun 16 2006,"S,N",advanced,M14183,"IN732098,IN732148,IN732255,IN732332",2.8 meters,96 cm,25 cm
,"$111,945",3 Ton 80 Kg,Jan 17 1997,D,super advanced,,"IN732357,IN732358",2.85 meters,96 cm,25 cm
,"$27,652",3 Ton 50 Kg,Jul 03 1998,H,super advanced,,"IN732315,IN732359,IN732269,IN732360,IN732361",2.78 meters,97 cm,25 cm
$128k,"$60,681",2 Ton 910 Kg,Dec 21 2012,"D,H",advanced,M14184,"IN732362,IN732363,IN732364,IN732365,IN732366",2.55 meters,98 cm,26 cm
,"$344,417",3 Ton 490 Kg,May 07 1997,"U,H",super advanced,M14159,"IN732367,IN732368,IN732139,IN732094,IN732117,IN732369,IN732370,IN732371,IN732372",3.02 meters,99 cm,26 cm
$40k,"$70,076",2 Ton 890 Kg,Jun 06 1997,D,advanced,M14185,"IN732373,IN732235",2.56 meters,98 cm,26 cm
$62k,"$112,866",2 Ton 890 Kg,Aug 17 2012,D,super advanced,M14186,"IN732312,IN732374,IN732375,IN732376,IN732377,IN732378,IN732379,IN732329",2.84 meters,93 cm,24 cm
$91k,"$85,366",3 Ton 140 Kg,Jul 03 2015,H,super advanced,M14187,"IN732325,IN732380,IN732381",2.32 meters,107 cm,28 cm
,"$95,409",3 Ton 40 Kg,Jun 15 2016,D,super advanced,,"IN732382,IN732383,IN732384",2.96 meters,93 cm,24 cm
$40k,"$132,407",3 Ton 10 Kg,Nov 08 2002,R,intermediate,M14188,IN732385,2.47 meters,102 cm,27 cm
$81k,"$36,420",2 Ton 990 Kg,Aug 01 2003,U,advanced,M14189,"IN732386,IN732387,IN732208",2.44 meters,102 cm,27 cm
$113k,"$90,957",3 Ton 60 Kg,Jul 06 2012,A,advanced,M14143,"IN732388,IN732389,IN732390,IN732391,IN732299,IN732392,IN732393,IN732394",2.76 meters,97 cm,25 cm
$42k,"$155,518",3 Ton 0 Kg,Nov 28 2014,"D,R",super advanced,M14190,"IN732395,IN732157,IN732396,IN732397,IN732398,IN732160",2.61 meters,99 cm,26 cm
$97k,"$206,973",3 Ton 240 Kg,Sep 26 2003,"D,H",super advanced,M14191,"IN732399,IN732280",2.49 meters,105 cm,28 cm
,"$50,857",3 Ton 230 Kg,Aug 15 2014,D,super advanced,M14192,"IN732400,IN732335,IN732401,IN732292,IN732402",3.19 meters,93 cm,24 cm
$97k,"$132,734",3 Ton 0 Kg,Feb 28 2003,"D,H",advanced,"M14193,M14194","IN732403,IN732404,IN732405,IN732406",2.52 meters,100 cm,26 cm
$219k,"$120,588",3 Ton 50 Kg,Apr 05 2013,"N,U",super advanced,M14195,"IN732407,IN732408,IN732239,IN732061,IN732301,IN732409",2.29 meters,106 cm,28 cm
,"$160,013",3 Ton 210 Kg,Nov 28 1997,"F,U",super advanced,M14196,"IN732410,IN732411,IN732260,IN732412,IN732413,IN732414",3.17 meters,93 cm,24 cm
$75k,"$116,832",2 Ton 900 Kg,Jun 01 2007,D,advanced,M14190,"IN732415,IN732416,IN732121,IN732343",2.9 meters,92 cm,24 cm
,"$79,196",3 Ton 310 Kg,Jun 27 2008,"P,P",advanced,M14197,"IN732116,IN732417",2.81 meters,100 cm,26 cm
$40k,"$222,670",3 Ton 110 Kg,Dec 07 2012,U,super advanced,"M14198,M14199",IN732418,2.65 meters,100 cm,26 cm
$62k,"$73,399",3 Ton 140 Kg,Sep 19 2003,D,super advanced,M14200,"IN732231,IN732257,IN732367,IN732419,IN732420,IN732201,IN732421",2.6 meters,101 cm,27 cm
,"$57,353",3 Ton 50 Kg,Jul 24 2015,H,super advanced,M14201,"IN732422,IN732423,IN732424,IN732425,IN732426",2.58 meters,100 cm,26 cm
,"$111,647",2 Ton 990 Kg,Mar 06 1998,"D,R",super advanced,M14202,"IN732427,IN732428",2.74 meters,96 cm,25 cm
$44k,"$59,290",3 Ton 170 Kg,Jan 03 2014,"D,H",advanced,M14194,"IN732429,IN732107,IN732430,IN732431,IN732356",2.91 meters,96 cm,25 cm
,"$53,122",3 Ton 60 Kg,Jan 15 2010,D,super advanced,M14203,"IN732184,IN732432,IN732433,IN732434,IN732435",2.58 meters,100 cm,26 cm
$197k,"$84,005",2 Ton 950 Kg,Sep 15 2006,"S,A",advanced,M14204,"IN732101,IN732436,IN732437",2.38 meters,102 cm,27 cm
,"$51,189",2 Ton 890 Kg,Feb 03 2012,G,basic,,IN732094,2.23 meters,105 cm,27 cm
$411k,"$192,854",3 Ton 0 Kg,Mar 14 2014,S,advanced,M14205,"IN732438,IN732439,IN732440",2.49 meters,101 cm,27 cm
$191k,"$91,723",2 Ton 980 Kg,Aug 26 2005,"U,R",advanced,M14206,"IN732441,IN732222,IN732112,IN732442,IN732142",2.82 meters,95 cm,25 cm
,"$21,204",3 Ton 150 Kg,Dec 03 2004,"T,H",advanced,,"IN732428,IN732443",2.81 meters,97 cm,26 cm
$91k,"$153,321",3 Ton 100 Kg,Dec 26 2003,"J,B",intermediate,M14207,"IN732444,IN732272,IN732445",3.02 meters,93 cm,24 cm
$84k,"$76,955",3 Ton 10 Kg,Dec 24 2004,"J,B",intermediate,,IN732444,2.44 meters,102 cm,27 cm
,"$75,429",2 Ton 980 Kg,May 15 1998,J,intermediate,,,3.02 meters,91 cm,24 cm
,"$34,838",2 Ton 900 Kg,May 28 1999,J,basic,,,2.63 meters,97 cm,25 cm
$270k,"$546,077",3 Ton 240 Kg,May 08 1998,"U,A",super advanced,M14208,"IN732054,IN732203,IN732277,IN732270",2.78 meters,99 cm,26 cm
$28k,"$61,932",3 Ton 120 Kg,Feb 09 2007,H,intermediate,,"IN732119,IN732446,IN732447",2.84 meters,96 cm,25 cm
,"$39,883",3 Ton 90 Kg,May 28 1997,"J,B",intermediate,,,2.5 meters,102 cm,27 cm
$113k,"$84,049",3 Ton 10 Kg,Aug 02 2013,"F,U",advanced,M14209,"IN732448,IN732449,IN732450,IN732098,IN732451,IN732206,IN732452",2.71 meters,97 cm,25 cm
$97k,"$47,388",3 Ton 0 Kg,Apr 02 2004,"D,R",advanced,M14210,"IN732109,IN732196",2.57 meters,99 cm,26 cm
$490k,"$110,466",3 Ton 760 Kg,Sep 07 2005,"I,M",super advanced,M14211,"IN732453,IN732322,IN732454,IN732455,IN732456,IN732457,IN732458",3.11 meters,101 cm,27 cm
$91k,"$213,061",2 Ton 810 Kg,Jul 24 2015,J,intermediate,M14212,"IN732459,IN732086,IN732460,IN732461,IN732462,IN732273",2.4 meters,100 cm,26 cm
$191k,"$44,815",3 Ton 20 Kg,Aug 19 2005,"D,H",super advanced,M14213,"IN732252,IN732463,IN732464,IN732465,IN732443",2.16 meters,109 cm,29 cm
$339k,"$185,569",3 Ton 560 Kg,Oct 08 2002,"T,H",super advanced,M14214,"IN732440,IN732466,IN732282,IN732467,IN732468",2.72 meters,105 cm,28 cm
$537k,"$244,751",3 Ton 120 Kg,Mar 10 2017,"J,B",intermediate,M14215,"IN732130,IN732469,IN732470,IN732471,IN732472,IN732473,IN732474",2.35 meters,106 cm,28 cm
$631k,"$1,052,611",3 Ton 90 Kg,Dec 17 2010,"J,B",intermediate,M14216,"IN732470,IN732130,IN732471,IN732469,IN732475,IN732430,IN732473,IN732476",2.68 meters,99 cm,26 cm
$238k,"$152,873",3 Ton 90 Kg,Sep 09 1998,"S,N",super advanced,M14217,"IN732393,IN732477,IN732478",2.65 meters,99 cm,26 cm
$191k,"$254,932",2 Ton 870 Kg,May 27 2005,"S,N",advanced,M14218,"IN732479,IN732480,IN732481",2.72 meters,95 cm,25 cm
,"$134,028",2 Ton 860 Kg,Oct 07 2008,"S,N",super advanced,"M14219,M14220",,2.87 meters,92 cm,24 cm
$144k,"$81,888",2 Ton 860 Kg,May 14 2010,"J,B",intermediate,M14221,,2.91 meters,91 cm,24 cm
,"$109,102",2 Ton 990 Kg,Jun 18 2010,D,advanced,,"IN732139,IN732171,IN732482",2.7 meters,97 cm,25 cm
$50k,"$84,137",2 Ton 950 Kg,Dec 20 2002,"D,A",super advanced,,"IN732126,IN732153,IN732483",2.63 meters,98 cm,26 cm
,"$29,801",2 Ton 810 Kg,Jan 10 1997,C,basic,,IN732484,2.5 meters,98 cm,26 cm
$176k,"$25,405",3 Ton 410 Kg,Jul 06 2007,H,advanced,M14167,"IN732485,IN732252,IN732486,IN732233,IN732087,IN732487,IN732457,IN732341",2.77 meters,102 cm,27 cm
$182k,"$51,540",3 Ton 170 Kg,Oct 08 2001,W,advanced,,"IN732488,IN732489,IN732205,IN732490",3.15 meters,92 cm,24 cm
$270k,"$128,690",3 Ton 210 Kg,Sep 06 2017,"U,R",super advanced,M14166,"IN732289,IN732073",2.74 meters,100 cm,26 cm
$56k,"$134,870",3 Ton 120 Kg,Aug 25 2017,D,advanced,M14222,"IN732491,IN732115,IN732492,IN732443,IN732200,IN732493",2.73 meters,99 cm,26 cm
$191k,"$104,930",3 Ton 220 Kg,Jun 29 2001,"P,H",super advanced,M14223,"IN732494,IN732436,IN732109,IN732495,IN732496,IN732208,IN732334,IN732497,IN732498,IN732187",3.02 meters,95 cm,25 cm
,"$21,998",2 Ton 900 Kg,Mar 12 1999,"B,D",advanced,M14175,"IN732499,IN732105",2.51 meters,99 cm,26 cm
$119k,"$68,903",3 Ton 50 Kg,Mar 11 2016,"D,H",advanced,M14223,"IN732482,IN732500,IN732335,IN732501,IN732498,IN732089,IN732502,IN732186",2.53 meters,101 cm,26 cm
$66k,"$18,987",2 Ton 960 Kg,Nov 11 2005,N,super advanced,M14224,,2.88 meters,93 cm,24 cm
$135k,"$279,484",2 Ton 900 Kg,Oct 29 2004,"D,R",advanced,,"IN732503,IN732504,IN732334,IN732502,IN732395",2.52 meters,99 cm,26 cm
$191k,"$235,442",3 Ton 30 Kg,Jan 18 2002,U,super advanced,M14225,"IN732505,IN732506",2.74 meters,97 cm,25 cm
,"$50,815",3 Ton 220 Kg,Oct 26 2007,H,super advanced,M14226,"IN732507,IN732508,IN732509,IN732510,IN732183,IN732326,IN732074,IN732198,IN732511,IN732512",3.1 meters,94 cm,25 cm
,"$81,595",2 Ton 880 Kg,Jul 01 2011,C,intermediate,,"IN732111,IN732415,IN732264,IN732513,IN732115",2.7 meters,95 cm,25 cm
$191k,"$685,471",2 Ton 920 Kg,Sep 26 2008,"J,D",intermediate,M14227,"IN732495,IN732514,IN732515,IN732415,IN732516",2.46 meters,100 cm,26 cm
$238k,"$420,898",2 Ton 870 Kg,Sep 28 2012,"J,D",basic,M14228,"IN732495,IN732514,IN732415,IN732517,IN732518",2.48 meters,99 cm,26 cm
,"$272,540",2 Ton 860 Kg,Sep 30 2016,"J,D",intermediate,,"IN732517,IN732519,IN732518,IN732495,IN732415,IN732460",2.34 meters,102 cm,27 cm
$238k,"$692,658",2 Ton 880 Kg,Oct 06 2010,"J,D",intermediate,M14141,"IN732517,IN732514,IN732518,IN732495,IN732520,IN732415,IN732521",2.59 meters,97 cm,25 cm
,"$69,479",3 Ton 110 Kg,Dec 07 2007,"Q,H",intermediate,M14229,"IN732060,IN732522,IN732523,IN732301,IN732524,IN732287,IN732078",2.49 meters,103 cm,27 cm
$128k,"$47,472",3 Ton 200 Kg,Aug 06 2010,"H,M",intermediate,M14230,"IN732525,IN732304,IN732526,IN732354,IN732470",2.9 meters,97 cm,25 cm
,"$48,097",3 Ton 30 Kg,Apr 10 2015,G,advanced,"M14134,M14135",,2.89 meters,94 cm,25 cm
$50k,"$411,429",3 Ton 220 Kg,Jun 28 2000,H,super advanced,M14231,"IN732367,IN732117,IN732527",3.26 meters,92 cm,24 cm
$56k,"$25,312",3 Ton 70 Kg,Feb 02 2007,D,advanced,M14194,"IN732403,IN732528,IN732385,IN732529,IN732530,IN732273,IN732337",2.41 meters,104 cm,27 cm
$317k,"$411,643",3 Ton 600 Kg,Aug 15 2008,"F,H",super advanced,M14170,"IN732158,IN732189,IN732531,IN732076,IN732532,IN732258,IN732533,IN732534,IN732149",2.76 meters,105 cm,28 cm
$128k,"$474,327",3 Ton 380 Kg,Sep 26 2014,H,super advanced,M14232,"IN732190,IN732482,IN732535,IN732146,IN732536,IN732537,IN732188,IN732097",2.62 meters,105 cm,27 cm
,"$44,636",2 Ton 940 Kg,May 31 2002,W,advanced,,"IN732453,IN732538,IN732311,IN732539,IN732280,IN732540",3.0 meters,91 cm,24 cm
$37k,"$324,923",2 Ton 950 Kg,Apr 21 2000,D,super advanced,"M14194,M14193","IN732541,IN732530,IN732542,IN732543,IN732544,IN732545,IN732546,IN732547,IN732273",3.03 meters,91 cm,24 cm
$97k,"$458,575",3 Ton 40 Kg,May 24 2002,D,super advanced,,"IN732541,IN732543,IN732542,IN732530,IN732544,IN732545,IN732547,IN732546,IN732273,IN732548,IN732110",2.63 meters,99 cm,26 cm
$25k,"$50,063",3 Ton 40 Kg,Jan 26 2001,U,super advanced,,"IN732190,IN732337,IN732549,IN732263,IN732550,IN732551,IN732552,IN732455",2.42 meters,103 cm,27 cm
$160k,"$181,825",3 Ton 130 Kg,Jan 18 2013,D,super advanced,"M14233,M14234","IN732541,IN732545,IN732530,IN732553,IN732377,IN732542,IN732544,IN732547,IN732546,IN732554,IN732543,IN732273,IN732374",2.92 meters,95 cm,25 cm
$187k,"$1,102,673",3 Ton 320 Kg,Oct 08 2015,H,super advanced,M14196,"IN732482,IN732340,IN732555",2.2 meters,113 cm,30 cm
$91k,"$48,086",2 Ton 960 Kg,Jun 03 2016,"D,A",super advanced,M14235,"IN732184,IN732434,IN732556,IN732557,IN732558,IN732559,IN732560",2.65 meters,97 cm,25 cm
$176k,"$331,219",3 Ton 20 Kg,May 14 2004,D,super advanced,,"IN732273,IN732561",2.54 meters,100 cm,26 cm
$147k,"$296,795",3 Ton 20 Kg,May 03 2002,"D,R",advanced,M14236,"IN732562,IN732563,IN732564,IN732093,IN732565,IN732306,IN732566,IN732567,IN732568",2.83 meters,95 cm,25 cm
